date,home_team,away_team,lambda_home,lambda_away,top_score,exp_home_goals,exp_away_goals,xgb_pred_result,xgb_pred_goals,xgb_pred_corners,xgb_pred_yellows,xgb_1X2_H,poi_1X2_H,avg_1X2_H,diff_1X2_H,conf_1X2_H,xgb_1X2_D,poi_1X2_D,avg_1X2_D,diff_1X2_D,conf_1X2_D,xgb_1X2_A,poi_1X2_A,avg_1X2_A,diff_1X2_A,conf_1X2_A,xgb_over25,poi_over25,avg_over25,diff_over25,conf_over25,xgb_btts,poi_btts,avg_btts,diff_btts,conf_btts,confidence
2026-06-18,Mexico,South Korea,1.564,0.872,1-0,1.563,0.872,H,2.509999990463257,7.599999904632568,,2.15,1.87,2.01,13.9,MEDIA,3.53,3.93,3.73,10.7,MEDIA,3.98,4.77,4.38,18.1,MEDIA,2.16,2.28,2.22,5.4,ALTA,2.13,2.17,2.15,1.9,ALTA,MEDIA
2026-06-19,Scotland,Morocco,0.893,1.483,0-1,0.893,1.483,A,2.4100000858306885,8.899999618530273,,4.74,4.41,4.58,7.2,ALTA,3.91,3.8,3.85,2.9,ALTA,1.88,1.96,1.92,4.2,ALTA,2.23,2.36,2.29,5.7,ALTA,2.04,2.19,2.12,7.1,ALTA,ALTA
2026-06-19,United States,Australia,1.04,1.327,1-1,1.04,1.327,A,2.5199999809265137,6.789999961853027,,3.72,3.42,3.57,8.4,ALTA,3.28,3.63,3.46,10.1,MEDIA,2.34,2.31,2.33,1.3,ALTA,2.09,2.37,2.23,12.6,MEDIA,1.99,2.11,2.05,5.9,ALTA,MEDIA
2026-06-19,Turkey,Paraguay,1.29,1.116,1-1,1.29,1.116,H,2.5799999237060547,8.399999618530273,,2.25,2.47,2.36,9.3,ALTA,3.64,3.64,3.64,0.0,ALTA,3.54,3.12,3.33,12.6,MEDIA,2.07,2.32,2.19,11.4,MEDIA,2.23,2.05,2.14,8.4,ALTA,MEDIA
2026-06-19,Brazil,Haiti,2.696,0.66,2-0,2.678,0.659,H,2.7699999809265137,8.430000305175781,,1.26,1.25,1.25,0.8,ALTA,7.02,7.66,7.34,8.7,ALTA,15.24,14.97,15.11,1.8,ALTA,1.88,1.54,1.71,19.9,MEDIA,2.38,2.21,2.29,7.4,ALTA,MEDIA
2026-06-20,Germany,Ivory Coast,1.76,0.797,1-0,1.759,0.797,H,2.869999885559082,10.489999771118164,,1.38,1.66,1.52,18.4,MEDIA,6.93,4.33,5.63,46.2,BAJA,7.54,6.02,6.78,22.4,MEDIA,1.81,2.12,1.97,15.8,MEDIA,2.25,2.2,2.23,2.2,ALTA,BAJA
2026-06-20,Netherlands,Sweden,2.172,0.839,2-0,2.168,0.839,H,3.0899999141693115,8.010000228881836,,1.36,1.47,1.42,7.8,ALTA,5.79,5.29,5.54,9.0,ALTA,11.14,7.58,9.36,38.0,BAJA,1.59,1.73,1.66,8.4,ALTA,2.2,1.99,2.1,10.0,MEDIA,BAJA
2026-06-20,Tunisia,Japan,0.839,1.664,0-1,0.839,1.663,A,2.359999895095825,7.340000152587891,,10.28,5.32,7.8,63.6,BAJA,3.52,4.12,3.82,15.7,MEDIA,1.62,1.76,1.69,8.3,ALTA,2.36,2.19,2.27,7.5,ALTA,2.18,2.17,2.17,0.5,ALTA,BAJA
2026-06-20,Ecuador,Curacao,2.851,0.675,2-0,2.825,0.673,H,3.049999952316284,9.18000030517578,,1.27,1.23,1.25,3.2,ALTA,7.91,8.34,8.12,5.3,ALTA,11.31,16.37,13.84,36.6,BAJA,1.51,1.47,1.49,2.7,ALTA,2.52,2.16,2.34,15.4,MEDIA,BAJA
2026-06-21,New Zealand,Egypt,1.134,1.197,1-1,1.134,1.197,A,2.2899999618530273,8.609999656677246,,2.85,2.91,2.88,2.1,ALTA,3.38,3.55,3.46,4.9,ALTA,2.83,2.67,2.75,5.8,ALTA,2.41,2.43,2.42,0.8,ALTA,2.09,2.11,2.1,1.0,ALTA,ALTA
2026-06-21,Spain,Saudi Arabia,3.141,0.485,3-0,3.093,0.482,H,3.869999885559082,7.599999904632568,,1.08,1.14,1.11,5.4,ALTA,17.57,11.7,14.63,40.1,BAJA,69.44,31.75,50.59,74.5,BAJA,1.31,1.44,1.38,9.5,ALTA,2.64,2.7,2.67,2.2,ALTA,BAJA
2026-06-21,Belgium,Iran,1.4,1.234,1-1,1.4,1.234,H,2.549999952316284,6.829999923706055,,2.07,2.45,2.26,16.8,MEDIA,4.31,3.83,4.07,11.8,MEDIA,3.52,3.02,3.27,15.3,MEDIA,1.72,2.04,1.88,17.0,MEDIA,2.1,1.87,1.99,11.6,MEDIA,MEDIA
2026-06-21,Uruguay,Cape Verde,2.247,0.718,2-0,2.242,0.718,H,2.8299999237060547,8.5600004196167,,1.29,1.39,1.34,7.5,ALTA,7.15,5.71,6.43,22.4,MEDIA,11.43,9.63,10.53,17.1,MEDIA,1.78,1.76,1.77,1.1,ALTA,2.31,2.18,2.25,5.8,ALTA,MEDIA
2026-06-22,Norway,Senegal,1.541,1.121,1-1,1.541,1.121,H,2.700000047683716,8.40999984741211,,2.04,2.13,2.08,4.3,ALTA,4.43,3.94,4.18,11.7,MEDIA,3.5,3.62,3.56,3.4,ALTA,1.73,2.01,1.87,15.0,MEDIA,1.91,1.89,1.9,1.1,ALTA,MEDIA
2026-06-22,France,Iraq,2.821,0.71,2-0,2.797,0.708,H,3.0199999809265137,7.940000057220459,,1.26,1.24,1.25,1.6,ALTA,7.17,8.02,7.59,11.2,MEDIA,15.13,14.95,15.04,1.2,ALTA,1.92,1.47,1.69,26.5,BAJA,2.05,2.09,2.07,1.9,ALTA,BAJA
