model_variant,segment,candidate_rows,bets,wins,hit_rate_pct,hit_rate_ci95_low,hit_rate_ci95_high,profit_units,roi_pct,roi_ci95_low_pct,roi_ci95_high_pct,max_drawdown_units,avg_odds,min_odds,max_odds,avg_ev_pct,unique_matches,ev_band,odds_band,min_ev_pct,max_ev_pct,include_draws
ensemble_calibrated,overall,215,6,3,50.0,18.76,81.24,0.55,9.17,-92.01,110.34,-2.0,2.225,1.5,3.5,20.94,6,15-40,mid_1.50_3.50,15.0,40.0,False
poisson_dixon_coles,overall,215,6,3,50.0,18.76,81.24,-0.39,-6.5,-88.68,75.68,-2.13,2.013,1.5,2.5,16.74,6,5-40,core_1.50_2.50,5.0,40.0,False
xgb_clean,overall,215,6,2,33.33,9.68,70.0,-2.15,-35.83,-115.87,44.2,-2.15,1.822,1.5,2.5,12.97,6,5-20,core_1.50_2.50,5.0,20.0,False
xgb_clean,overall,215,6,2,33.33,9.68,70.0,-2.15,-35.83,-115.87,44.2,-2.15,1.915,1.5,2.5,15.41,6,10-25,core_1.50_2.50,10.0,25.0,False
ensemble_calibrated,overall,215,6,1,16.67,3.01,56.35,-3.07,-51.17,-146.88,44.55,-3.07,2.878,2.5,4.0,15.69,6,10-30,review_2.50_4.00,10.0,30.0,False
poisson_dixon_coles,overall,215,6,1,16.67,3.01,56.35,-3.07,-51.17,-146.88,44.55,-3.07,2.878,2.5,4.0,24.1,6,10-40,review_2.50_4.00,10.0,40.0,False
xgb_clean,overall,215,5,3,60.0,23.07,88.24,5.63,112.6,-60.89,286.09,-2.0,3.486,2.5,4.0,16.26,5,10-25,review_2.50_4.00,10.0,25.0,False
xgb_clean,overall,215,5,3,60.0,23.07,88.24,5.63,112.6,-60.89,286.09,-2.0,3.486,2.5,4.0,16.26,5,10-30,review_2.50_4.00,10.0,30.0,False
xgb_clean,overall,215,5,3,60.0,23.07,88.24,5.63,112.6,-60.89,286.09,-2.0,3.486,2.5,4.0,16.26,5,10-40,review_2.50_4.00,10.0,40.0,False
ensemble_raw,overall,215,5,2,40.0,11.76,76.93,1.92,38.4,-130.93,207.73,-2.0,2.916,2.5,4.0,29.4,5,15-40,review_2.50_4.00,15.0,40.0,False
ensemble_raw,overall,215,5,2,40.0,11.76,76.93,1.64,32.8,-128.42,194.02,-3.0,3.266,2.5,4.0,11.59,5,5-20,review_2.50_4.00,5.0,20.0,False
xgb_clean,overall,215,5,3,60.0,23.07,88.24,0.96,19.2,-76.45,114.85,-1.0,1.984,1.5,2.5,23.41,5,15-40,core_1.50_2.50,15.0,40.0,False
poisson_dixon_coles,overall,215,5,3,60.0,23.07,88.24,0.61,12.2,-77.89,102.29,-2.0,1.93,1.5,2.5,13.9,5,5-20,core_1.50_2.50,5.0,20.0,False
poisson_dixon_coles,overall,215,5,3,60.0,23.07,88.24,0.61,12.2,-77.89,102.29,-2.0,1.93,1.5,2.5,13.9,5,5-30,core_1.50_2.50,5.0,30.0,False
ensemble_raw,overall,215,5,3,60.0,23.07,88.24,0.61,12.2,-77.89,102.29,-1.13,1.978,1.5,2.5,19.12,5,10-30,core_1.50_2.50,10.0,30.0,False
ensemble_raw,overall,215,5,3,60.0,23.07,88.24,0.61,12.2,-77.89,102.29,-1.13,1.978,1.5,2.5,19.12,5,10-40,core_1.50_2.50,10.0,40.0,False
poisson_dixon_coles,overall,215,5,3,60.0,23.07,88.24,0.61,12.2,-77.89,102.29,-1.13,1.978,1.5,2.5,18.13,5,10-40,core_1.50_2.50,10.0,40.0,False
ensemble_raw,overall,215,5,3,60.0,23.07,88.24,0.61,12.2,-77.89,102.29,-1.13,1.978,1.5,2.5,19.12,5,15-30,core_1.50_2.50,15.0,30.0,False
ensemble_raw,overall,215,5,3,60.0,23.07,88.24,0.61,12.2,-77.89,102.29,-1.13,1.978,1.5,2.5,19.12,5,15-40,core_1.50_2.50,15.0,40.0,False
ensemble_calibrated,overall,215,5,2,40.0,11.76,76.93,-1.38,-27.6,-114.58,59.38,-1.38,1.886,1.5,2.5,17.99,5,10-25,core_1.50_2.50,10.0,25.0,False
ensemble_calibrated,overall,215,5,2,40.0,11.76,76.93,-1.38,-27.6,-114.58,59.38,-1.38,1.886,1.5,2.5,17.99,5,10-30,core_1.50_2.50,10.0,30.0,False
ensemble_calibrated,overall,215,5,2,40.0,11.76,76.93,-1.38,-27.6,-114.58,59.38,-1.38,1.886,1.5,2.5,17.99,5,10-40,core_1.50_2.50,10.0,40.0,False
ensemble_calibrated,overall,215,5,1,20.0,3.62,62.45,-2.07,-41.4,-156.26,73.46,-3.0,2.95,2.5,4.0,13.19,5,10-25,review_2.50_4.00,10.0,25.0,False
ensemble_raw,overall,215,5,1,20.0,3.62,62.45,-2.07,-41.4,-156.26,73.46,-3.0,2.95,2.5,4.0,19.25,5,10-30,review_2.50_4.00,10.0,30.0,False
xgb_clean,overall,215,4,3,75.0,30.06,95.44,6.63,165.75,-13.35,344.85,-1.0,3.41,2.5,4.0,17.19,4,15-30,review_2.50_4.00,15.0,30.0,False
xgb_clean,overall,215,4,3,75.0,30.06,95.44,6.63,165.75,-13.35,344.85,-1.0,3.41,2.5,4.0,17.19,4,15-40,review_2.50_4.00,15.0,40.0,False
ensemble_raw,overall,215,4,3,75.0,30.06,95.44,1.61,40.25,-51.88,132.38,-1.0,1.865,1.5,2.5,16.86,4,10-25,core_1.50_2.50,10.0,25.0,False
poisson_dixon_coles,overall,215,4,3,75.0,30.06,95.44,1.61,40.25,-51.88,132.38,-1.0,1.865,1.5,2.5,14.92,4,10-25,core_1.50_2.50,10.0,25.0,False
poisson_dixon_coles,overall,215,4,3,75.0,30.06,95.44,1.61,40.25,-51.88,132.38,-1.0,1.865,1.5,2.5,14.92,4,10-30,core_1.50_2.50,10.0,30.0,False
xgb_clean,overall,215,4,2,50.0,15.0,85.0,-0.03,-0.75,-113.44,111.94,-1.0,1.982,1.5,2.5,21.09,4,15-30,core_1.50_2.50,15.0,30.0,False
ensemble_calibrated,overall,215,4,2,50.0,15.0,85.0,-0.38,-9.5,-112.02,93.02,-1.13,1.975,1.5,2.5,19.9,4,15-30,core_1.50_2.50,15.0,30.0,False
ensemble_calibrated,overall,215,4,2,50.0,15.0,85.0,-0.38,-9.5,-112.02,93.02,-1.13,1.975,1.5,2.5,19.9,4,15-40,core_1.50_2.50,15.0,40.0,False
poisson_dixon_coles,overall,215,4,1,25.0,4.56,69.94,-1.07,-26.75,-170.32,116.82,-3.0,3.165,2.5,4.0,12.53,4,5-30,review_2.50_4.00,5.0,30.0,False
poisson_dixon_coles,overall,215,4,1,25.0,4.56,69.94,-1.07,-26.75,-170.32,116.82,-2.0,2.647,2.5,4.0,30.38,4,15-40,review_2.50_4.00,15.0,40.0,False
ensemble_calibrated,overall,215,3,2,66.67,20.77,93.85,3.92,130.67,-103.21,364.54,-1.0,3.147,2.5,4.0,25.61,3,15-40,review_2.50_4.00,15.0,40.0,False
poisson_dixon_coles,overall,215,3,2,66.67,20.77,93.85,1.68,56.0,-110.82,222.82,-1.0,2.177,1.5,3.5,18.34,3,15-30,mid_1.50_3.50,15.0,30.0,False
ensemble_raw,overall,215,3,1,33.33,6.15,79.23,-0.07,-2.33,-193.76,189.09,-2.0,3.203,2.5,4.0,13.74,3,10-25,review_2.50_4.00,10.0,25.0,False
poisson_dixon_coles,overall,215,3,1,33.33,6.15,79.23,-0.07,-2.33,-193.76,189.09,-2.0,3.203,2.5,4.0,14.63,3,10-25,review_2.50_4.00,10.0,25.0,False
poisson_dixon_coles,overall,215,3,1,33.33,6.15,79.23,-0.07,-2.33,-193.76,189.09,-2.0,3.203,2.5,4.0,14.63,3,10-30,review_2.50_4.00,10.0,30.0,False
ensemble_raw,overall,215,3,1,33.33,6.15,79.23,-0.07,-2.33,-193.76,189.09,-1.0,2.69,2.5,4.0,24.77,3,15-30,review_2.50_4.00,15.0,30.0,False
poisson_dixon_coles,overall,215,3,1,33.33,6.15,79.23,-1.25,-41.67,-156.0,72.67,-2.0,2.01,1.5,2.5,21.71,3,15-40,core_1.50_2.50,15.0,40.0,False
poisson_dixon_coles,overall,215,3,0,0.0,0.0,56.15,-3.0,-100.0,-100.0,-100.0,-3.0,3.243,2.5,4.0,9.77,3,5-20,review_2.50_4.00,5.0,20.0,False
ensemble_calibrated,overall,215,2,1,50.0,9.45,90.55,0.93,46.5,-240.64,333.64,-1.0,2.725,2.5,4.0,23.02,2,15-30,review_2.50_4.00,15.0,30.0,False
poisson_dixon_coles,overall,215,2,1,50.0,9.45,90.55,-0.25,-12.5,-184.0,159.0,-1.0,1.8,1.5,2.5,17.09,2,15-30,core_1.50_2.50,15.0,30.0,False
poisson_dixon_coles,overall,215,1,1,100.0,20.65,100.0,1.93,193.0,0.0,0.0,0.0,2.93,2.5,4.0,20.83,1,15-30,review_2.50_4.00,15.0,30.0,False
