model_variant,home_team,away_team,mercado,seleccion,cuota,prob_modelo,ev_pct,win,profit,resultado_real
ensemble_raw,Denmark,Tunisia,1X2-H,Denmark,1.61,0.524,-15.64,False,-1.0,0-0
ensemble_calibrated,Denmark,Tunisia,1X2-H,Denmark,1.61,0.5087,-18.1,False,-1.0,0-0
xgb_clean,Denmark,Tunisia,1X2-A,Tunisia,6.89,0.1615,11.26,False,-1.0,0-0
poisson_dixon_coles,Denmark,Tunisia,1X2-A,Tunisia,6.89,0.2228,53.51,False,-1.0,0-0
ensemble_raw,Denmark,Tunisia,1X2-A,Tunisia,6.89,0.2058,41.79,False,-1.0,0-0
ensemble_calibrated,Denmark,Tunisia,1X2-A,Tunisia,6.89,0.2042,40.67,False,-1.0,0-0
xgb_clean,Denmark,Tunisia,1X2-D,Draw,3.85,0.2599,0.04,True,2.85,0-0
poisson_dixon_coles,Denmark,Tunisia,1X2-D,Draw,3.85,0.2742,5.57,True,2.85,0-0
ensemble_raw,Denmark,Tunisia,1X2-D,Draw,3.85,0.2702,4.04,True,2.85,0-0
ensemble_calibrated,Denmark,Tunisia,1X2-D,Draw,3.85,0.2871,10.54,True,2.85,0-0
xgb_clean,France,Australia,1X2-A,Australia,11.5,0.1041,19.68,False,-1.0,4-1
poisson_dixon_coles,France,Australia,1X2-A,Australia,11.5,0.1113,27.99,False,-1.0,4-1
ensemble_raw,France,Australia,1X2-A,Australia,11.5,0.1093,25.69,False,-1.0,4-1
ensemble_calibrated,France,Australia,1X2-A,Australia,11.5,0.0962,10.61,False,-1.0,4-1
xgb_clean,France,Australia,1X2-H,France,1.27,0.6548,-16.84,True,0.27,4-1
poisson_dixon_coles,France,Australia,1X2-H,France,1.27,0.695,-11.74,True,0.27,4-1
ensemble_raw,France,Australia,1X2-H,France,1.27,0.6839,-13.15,True,0.27,4-1
ensemble_calibrated,France,Australia,1X2-H,France,1.27,0.7122,-9.55,True,0.27,4-1
xgb_clean,France,Australia,1X2-D,Draw,6.7,0.2411,61.56,False,-1.0,4-1
poisson_dixon_coles,France,Australia,1X2-D,Draw,6.7,0.1937,29.78,False,-1.0,4-1
ensemble_raw,France,Australia,1X2-D,Draw,6.7,0.2069,38.59,False,-1.0,4-1
ensemble_calibrated,France,Australia,1X2-D,Draw,6.7,0.1916,28.37,False,-1.0,4-1
xgb_clean,Belgium,Canada,1X2-H,Belgium,1.6,0.5663,-9.4,True,0.6,1-0
poisson_dixon_coles,Belgium,Canada,1X2-H,Belgium,1.6,0.5495,-12.08,True,0.6,1-0
ensemble_raw,Belgium,Canada,1X2-H,Belgium,1.6,0.5541,-11.34,True,0.6,1-0
ensemble_calibrated,Belgium,Canada,1X2-H,Belgium,1.6,0.5175,-17.2,True,0.6,1-0
xgb_clean,Belgium,Canada,1X2-A,Canada,5.96,0.1651,-1.58,False,-1.0,1-0
poisson_dixon_coles,Belgium,Canada,1X2-A,Canada,5.96,0.1955,16.52,False,-1.0,1-0
ensemble_raw,Belgium,Canada,1X2-A,Canada,5.96,0.1871,11.49,False,-1.0,1-0
ensemble_calibrated,Belgium,Canada,1X2-A,Canada,5.96,0.2005,19.5,False,-1.0,1-0
xgb_clean,Belgium,Canada,1X2-D,Draw,4.31,0.2686,15.77,False,-1.0,1-0
poisson_dixon_coles,Belgium,Canada,1X2-D,Draw,4.31,0.2551,9.95,False,-1.0,1-0
ensemble_raw,Belgium,Canada,1X2-D,Draw,4.31,0.2588,11.56,False,-1.0,1-0
ensemble_calibrated,Belgium,Canada,1X2-D,Draw,4.31,0.282,21.54,False,-1.0,1-0
xgb_clean,Spain,Costa Rica,1X2-A,Costa Rica,19.5,0.1129,120.1,False,-1.0,7-0
poisson_dixon_coles,Spain,Costa Rica,1X2-A,Costa Rica,19.5,0.1353,163.84,False,-1.0,7-0
ensemble_raw,Spain,Costa Rica,1X2-A,Costa Rica,19.5,0.1291,151.71,False,-1.0,7-0
ensemble_calibrated,Spain,Costa Rica,1X2-A,Costa Rica,19.5,0.1551,202.39,False,-1.0,7-0
xgb_clean,Spain,Costa Rica,1X2-H,Spain,1.18,0.6472,-23.63,True,0.18,7-0
poisson_dixon_coles,Spain,Costa Rica,1X2-H,Spain,1.18,0.6423,-24.21,True,0.18,7-0
ensemble_raw,Spain,Costa Rica,1X2-H,Spain,1.18,0.6437,-24.05,True,0.18,7-0
ensemble_calibrated,Spain,Costa Rica,1X2-H,Spain,1.18,0.6107,-27.93,True,0.18,7-0
xgb_clean,Spain,Costa Rica,1X2-D,Draw,8.0,0.2399,91.94,False,-1.0,7-0
poisson_dixon_coles,Spain,Costa Rica,1X2-D,Draw,8.0,0.2224,77.92,False,-1.0,7-0
ensemble_raw,Spain,Costa Rica,1X2-D,Draw,8.0,0.2273,81.81,False,-1.0,7-0
ensemble_calibrated,Spain,Costa Rica,1X2-D,Draw,8.0,0.2342,87.34,False,-1.0,7-0
xgb_clean,Germany,Japan,1X2-H,Germany,1.54,0.4254,-34.5,False,-1.0,1-2
poisson_dixon_coles,Germany,Japan,1X2-H,Germany,1.54,0.4107,-36.75,False,-1.0,1-2
ensemble_raw,Germany,Japan,1X2-H,Germany,1.54,0.4148,-36.13,False,-1.0,1-2
ensemble_calibrated,Germany,Japan,1X2-H,Germany,1.54,0.3772,-41.91,False,-1.0,1-2
xgb_clean,Germany,Japan,1X2-A,Japan,6.5,0.3023,96.48,True,5.5,1-2
poisson_dixon_coles,Germany,Japan,1X2-A,Japan,6.5,0.31,101.5,True,5.5,1-2
ensemble_raw,Germany,Japan,1X2-A,Japan,6.5,0.3079,100.11,True,5.5,1-2
ensemble_calibrated,Germany,Japan,1X2-A,Japan,6.5,0.3146,104.48,True,5.5,1-2
xgb_clean,Germany,Japan,1X2-D,Draw,4.5,0.2724,22.57,False,-1.0,1-2
poisson_dixon_coles,Germany,Japan,1X2-D,Draw,4.5,0.2793,25.69,False,-1.0,1-2
ensemble_raw,Germany,Japan,1X2-D,Draw,4.5,0.2774,24.82,False,-1.0,1-2
ensemble_calibrated,Germany,Japan,1X2-D,Draw,4.5,0.3082,38.71,False,-1.0,1-2
xgb_clean,Uruguay,South Korea,1X2-A,South Korea,5.37,0.2184,17.28,False,-1.0,0-0
poisson_dixon_coles,Uruguay,South Korea,1X2-A,South Korea,5.37,0.2276,22.22,False,-1.0,0-0
ensemble_raw,Uruguay,South Korea,1X2-A,South Korea,5.37,0.2251,20.86,False,-1.0,0-0
ensemble_calibrated,Uruguay,South Korea,1X2-A,South Korea,5.37,0.2042,9.64,False,-1.0,0-0
xgb_clean,Uruguay,South Korea,1X2-H,Uruguay,1.82,0.5309,-3.37,False,-1.0,0-0
poisson_dixon_coles,Uruguay,South Korea,1X2-H,Uruguay,1.82,0.5117,-6.87,False,-1.0,0-0
ensemble_raw,Uruguay,South Korea,1X2-H,Uruguay,1.82,0.5171,-5.89,False,-1.0,0-0
ensemble_calibrated,Uruguay,South Korea,1X2-H,Uruguay,1.82,0.5087,-7.42,False,-1.0,0-0
xgb_clean,Uruguay,South Korea,1X2-D,Draw,3.51,0.2507,-12.02,True,2.51,0-0
poisson_dixon_coles,Uruguay,South Korea,1X2-D,Draw,3.51,0.2606,-8.53,True,2.51,0-0
ensemble_raw,Uruguay,South Korea,1X2-D,Draw,3.51,0.2579,-9.49,True,2.51,0-0
ensemble_calibrated,Uruguay,South Korea,1X2-D,Draw,3.51,0.2871,0.78,True,2.51,0-0
xgb_clean,Portugal,Ghana,1X2-A,Ghana,9.0,0.0713,-35.82,False,-1.0,3-2
poisson_dixon_coles,Portugal,Ghana,1X2-A,Ghana,9.0,0.0854,-23.14,False,-1.0,3-2
ensemble_raw,Portugal,Ghana,1X2-A,Ghana,9.0,0.0815,-26.66,False,-1.0,3-2
ensemble_calibrated,Portugal,Ghana,1X2-A,Ghana,9.0,0.0936,-15.77,False,-1.0,3-2
xgb_clean,Portugal,Ghana,1X2-H,Portugal,1.38,0.7483,3.26,True,0.38,3-2
poisson_dixon_coles,Portugal,Ghana,1X2-H,Portugal,1.38,0.7338,1.26,True,0.38,3-2
ensemble_raw,Portugal,Ghana,1X2-H,Portugal,1.38,0.7378,1.81,True,0.38,3-2
ensemble_calibrated,Portugal,Ghana,1X2-H,Portugal,1.38,0.7363,1.61,True,0.38,3-2
xgb_clean,Portugal,Ghana,1X2-D,Draw,5.25,0.1804,-5.29,False,-1.0,3-2
poisson_dixon_coles,Portugal,Ghana,1X2-D,Draw,5.25,0.1809,-5.03,False,-1.0,3-2
ensemble_raw,Portugal,Ghana,1X2-D,Draw,5.25,0.1807,-5.11,False,-1.0,3-2
ensemble_calibrated,Portugal,Ghana,1X2-D,Draw,5.25,0.1701,-10.71,False,-1.0,3-2
xgb_clean,Switzerland,Cameroon,1X2-A,Cameroon,5.74,0.1221,-29.89,False,-1.0,1-0
poisson_dixon_coles,Switzerland,Cameroon,1X2-A,Cameroon,5.74,0.1223,-29.8,False,-1.0,1-0
ensemble_raw,Switzerland,Cameroon,1X2-A,Cameroon,5.74,0.1223,-29.82,False,-1.0,1-0
ensemble_calibrated,Switzerland,Cameroon,1X2-A,Cameroon,5.74,0.0975,-44.03,False,-1.0,1-0
