home_team,away_team,mercado,seleccion,cuota,prob_modelo,ev_pct,apostada,win,profit,resultado_real,model_variant,match_key,strategy_market_ok,strategy_ev_ok,strategy_odds_ok,strategy_bet_allowed,strategy_reason,profit_strategy
Cameroon,Brazil,1X2-A,Brazil,1.39,0.9396,30.6,True,False,-1.0,1-0,legacy_model,Cameroon vs Brazil,True,True,False,False,odds_outside_range,0.0
Cameroon,Brazil,1X2-H,Cameroon,8.6,0.0214,-81.63,False,True,0.0,1-0,legacy_model,Cameroon vs Brazil,True,False,False,False,ev_outside_range,0.0
Cameroon,Brazil,1X2-D,Draw,5.17,0.039,-79.82,False,False,0.0,1-0,legacy_model,Cameroon vs Brazil,False,False,False,False,excluded_market,0.0
Ghana,Uruguay,1X2-H,Ghana,4.39,0.1137,-50.09,False,False,0.0,0-2,legacy_model,Ghana vs Uruguay,True,False,False,False,ev_outside_range,0.0
Ghana,Uruguay,1X2-A,Uruguay,1.87,0.688,28.65,True,True,0.87,0-2,legacy_model,Ghana vs Uruguay,True,True,True,True,allowed,0.87
Ghana,Uruguay,1X2-D,Draw,3.85,0.1983,-23.65,False,False,0.0,0-2,legacy_model,Ghana vs Uruguay,False,False,False,False,excluded_market,0.0
Ghana,Uruguay,Over2.5,Over,2.06,0.4311,-11.2,False,False,0.0,0-2,legacy_model,Ghana vs Uruguay,False,False,True,False,excluded_market,0.0
Ghana,Uruguay,Under2.5,Under,1.85,0.5689,5.25,True,True,0.85,0-2,legacy_model,Ghana vs Uruguay,False,False,True,False,excluded_market,0.0
Netherlands,United States,1X2-H,Netherlands,2.1,0.5681,19.31,True,True,1.1,3-1,legacy_model,Netherlands vs United States,True,True,True,True,allowed,1.1
Netherlands,United States,1X2-A,USA,4.14,0.1193,-50.6,False,False,0.0,3-1,legacy_model,Netherlands vs United States,True,False,False,False,ev_outside_range,0.0
Netherlands,United States,1X2-D,Draw,3.31,0.3125,3.45,False,False,0.0,3-1,legacy_model,Netherlands vs United States,False,False,False,False,excluded_market,0.0
Argentina,Australia,1X2-H,Argentina,1.29,0.7081,-8.65,False,True,0.0,2-1,legacy_model,Argentina vs Australia,True,False,False,False,ev_outside_range,0.0
