date,home_team,away_team,mercado,seleccion,bookmaker,cuota,prob_modelo,cuota_justa,ev_pct,fiabilidad_pct,fiabilidad_nivel
2026-06-24,Bosnia and Herzegovina,Qatar,Over 2.5,Over,pmu_fr,1.87,0.5035,1.986,-5.85,61.6,MEDIA
2026-06-18,Mexico,South Korea,Under 2.5,Under,pmu_fr,1.56,0.6022,1.661,-6.06,73.9,ALTA
2026-06-15,Saudi Arabia,Uruguay,Under 2.5,Under,williamhill,1.85,0.5074,1.971,-6.13,41.2,BAJA
2026-06-15,Saudi Arabia,Uruguay,Under 2.5,Under,pinnacle,1.85,0.5074,1.971,-6.13,41.2,BAJA
2026-06-20,Tunisia,Japan,Over 2.5,Over,williamhill,2.2,0.4266,2.344,-6.15,43.9,BAJA
2026-06-17,Ghana,Panama,Over 2.5,Over,pmu_fr,2.05,0.4557,2.194,-6.58,62.1,MEDIA
2026-06-24,Switzerland,Canada,Under 2.5,Under,williamhill,1.7,0.5493,1.82,-6.62,57.5,MEDIA
2026-06-20,Tunisia,Japan,Under 2.5,Under,williamhill,1.62,0.5734,1.744,-7.11,43.9,BAJA
2026-06-11,South Korea,Czech Republic,Over 2.5,Over,pmu_fr,2.08,0.4466,2.239,-7.11,67.6,ALTA
2026-06-18,Canada,Qatar,Over 2.5,Over,williamhill,1.95,0.4763,2.1,-7.12,63.1,MEDIA
2026-06-16,France,Senegal,Over 2.5,Over,williamhill,1.8,0.5151,1.941,-7.28,53.5,MEDIA
2026-06-24,Morocco,Haiti,Under 2.5,Under,pmu_fr,2.08,0.4456,2.244,-7.32,38.9,BAJA
2026-06-21,New Zealand,Egypt,Under 2.5,Under,pmu_fr,1.56,0.5937,1.684,-7.38,53.0,MEDIA
2026-06-16,France,Senegal,Under 2.5,Under,williamhill,1.91,0.4849,2.062,-7.38,53.5,MEDIA
2026-06-13,Australia,Turkey,Under 2.5,Under,pmu_fr,1.67,0.5538,1.806,-7.52,69.3,ALTA
2026-06-24,Switzerland,Canada,Over 2.5,Over,williamhill,2.05,0.4507,2.219,-7.61,57.5,MEDIA
2026-06-13,Australia,Turkey,Over 2.5,Over,pinnacle,2.07,0.4462,2.241,-7.64,69.3,ALTA
2026-06-22,Norway,Senegal,Over 2.5,Over,pmu_fr,1.82,0.5074,1.971,-7.65,46.8,BAJA
2026-06-19,Scotland,Morocco,Under 2.5,Under,williamhill,1.6,0.5765,1.735,-7.76,81.2,MUY ALTA
2026-06-21,Uruguay,Cape Verde,Over 2.5,Over,pinnacle,1.89,0.4869,2.054,-7.98,45.9,BAJA
2026-06-26,Norway,France,Over 2.5,Over,pinnacle,1.98,0.4644,2.153,-8.05,86.6,MUY ALTA
2026-06-24,Switzerland,Canada,Over 2.5,Over,pmu_fr,2.04,0.4507,2.219,-8.06,57.5,MEDIA
2026-06-18,Canada,Qatar,Over 2.5,Over,pinnacle,1.93,0.4763,2.1,-8.07,63.1,MEDIA
2026-06-13,Qatar,Switzerland,Under 2.5,Under,pmu_fr,2.12,0.4335,2.307,-8.1,49.8,BAJA
2026-06-26,New Zealand,Belgium,Over 2.5,Over,williamhill,1.67,0.55,1.818,-8.15,70.2,ALTA
2026-06-18,Canada,Qatar,Under 2.5,Under,williamhill,1.75,0.5237,1.909,-8.35,63.1,MEDIA
2026-06-14,Netherlands,Japan,Under 2.5,Under,pmu_fr,1.76,0.5202,1.922,-8.44,93.0,MUY ALTA
2026-06-26,Cape Verde,Saudi Arabia,Over 2.5,Over,williamhill,2.2,0.4157,2.406,-8.55,57.0,MEDIA
2026-06-14,Germany,Curacao,Over 2.5,Over,williamhill,1.17,0.781,1.28,-8.62,67.7,ALTA
2026-06-24,Morocco,Haiti,Under 2.5,Under,williamhill,2.05,0.4456,2.244,-8.65,38.9,BAJA
2026-06-16,France,Senegal,Under 2.5,Under,pinnacle,1.88,0.4849,2.062,-8.84,53.5,MEDIA
2026-06-22,Norway,Senegal,Under 2.5,Under,pinnacle,1.85,0.4926,2.03,-8.87,46.8,BAJA
2026-06-15,Saudi Arabia,Uruguay,Over 2.5,Over,williamhill,1.85,0.4926,2.03,-8.87,41.2,BAJA
2026-06-24,South Africa,South Korea,Over 2.5,Over,williamhill,2.1,0.4332,2.308,-9.03,33.0,MUY BAJA
2026-06-19,United States,Australia,Under 2.5,Under,pinnacle,1.79,0.5071,1.972,-9.23,72.2,ALTA
2026-06-20,Germany,Ivory Coast,Over 2.5,Over,pmu_fr,1.71,0.5303,1.886,-9.32,52.2,MEDIA
2026-06-13,Qatar,Switzerland,Over 2.5,Over,williamhill,1.6,0.5665,1.765,-9.36,49.8,BAJA
2026-06-18,Canada,Qatar,Under 2.5,Under,pmu_fr,1.73,0.5237,1.909,-9.4,63.1,MEDIA
2026-06-15,Iran,New Zealand,Under 2.5,Under,williamhill,1.67,0.5418,1.846,-9.52,59.6,MEDIA
2026-06-12,Canada,Bosnia and Herzegovina,Over 2.5,Over,pmu_fr,2.1,0.4303,2.324,-9.64,51.8,MEDIA
2026-06-12,Canada,Bosnia and Herzegovina,Over 2.5,Over,williamhill,2.1,0.4303,2.324,-9.64,51.8,MEDIA
2026-06-25,Turkey,United States,Under 2.5,Under,pinnacle,1.92,0.4699,2.128,-9.78,71.6,ALTA
2026-06-24,Czech Republic,Mexico,Under 2.5,Under,pmu_fr,1.57,0.5745,1.741,-9.8,70.6,ALTA
2026-06-20,Germany,Ivory Coast,Over 2.5,Over,williamhill,1.7,0.5303,1.886,-9.85,52.2,MEDIA
2026-06-16,Argentina,Algeria,Over 2.5,Over,pinnacle,1.97,0.4576,2.185,-9.85,55.1,MEDIA
2026-06-24,South Africa,South Korea,Over 2.5,Over,pmu_fr,2.08,0.4332,2.308,-9.89,33.0,MUY BAJA
2026-06-21,Uruguay,Cape Verde,Over 2.5,Over,williamhill,1.85,0.4869,2.054,-9.92,45.9,BAJA
2026-06-27,Algeria,Austria,Over 2.5,Over,williamhill,2.15,0.4188,2.388,-9.96,71.9,ALTA
2026-06-17,Ghana,Panama,Under 2.5,Under,williamhill,1.65,0.5443,1.837,-10.19,62.1,MEDIA
2026-06-21,Uruguay,Cape Verde,Under 2.5,Under,pmu_fr,1.75,0.5131,1.949,-10.21,45.9,BAJA
2026-06-19,Scotland,Morocco,Over 2.5,Over,pmu_fr,2.12,0.4235,2.361,-10.22,81.2,MUY ALTA
2026-06-27,Panama,England,Over 2.5,Over,williamhill,1.62,0.554,1.805,-10.25,87.9,MUY ALTA
2026-06-16,France,Senegal,Over 2.5,Over,pmu_fr,1.74,0.5151,1.941,-10.37,53.5,MEDIA
2026-06-25,Paraguay,Australia,Under 2.5,Under,williamhill,1.6,0.5595,1.787,-10.48,64.2,MEDIA
2026-06-20,Tunisia,Japan,Under 2.5,Under,pmu_fr,1.56,0.5734,1.744,-10.55,43.9,BAJA
2026-06-24,Bosnia and Herzegovina,Qatar,Under 2.5,Under,pinnacle,1.8,0.4965,2.014,-10.63,61.6,MEDIA
2026-06-13,Australia,Turkey,Over 2.5,Over,williamhill,2.0,0.4462,2.241,-10.76,69.3,ALTA
2026-06-15,Saudi Arabia,Uruguay,Over 2.5,Over,pmu_fr,1.81,0.4926,2.03,-10.84,41.2,BAJA
2026-06-15,Saudi Arabia,Uruguay,Under 2.5,Under,pmu_fr,1.75,0.5074,1.971,-11.2,41.2,BAJA
2026-06-14,Netherlands,Japan,Over 2.5,Over,williamhill,1.85,0.4798,2.084,-11.24,93.0,MUY ALTA
2026-06-24,Scotland,Brazil,Over 2.5,Over,pinnacle,1.83,0.4849,2.062,-11.26,51.7,MEDIA
2026-06-26,Norway,France,Over 2.5,Over,williamhill,1.91,0.4644,2.153,-11.3,86.6,MUY ALTA
2026-06-23,Panama,Croatia,Over 2.5,Over,pinnacle,1.99,0.4456,2.244,-11.33,73.1,ALTA
2026-06-11,South Korea,Czech Republic,Under 2.5,Under,williamhill,1.6,0.5534,1.807,-11.46,67.6,ALTA
2026-06-16,France,Senegal,Under 2.5,Under,pmu_fr,1.82,0.4849,2.062,-11.75,53.5,MEDIA
2026-06-19,Scotland,Morocco,Under 2.5,Under,pmu_fr,1.53,0.5765,1.735,-11.8,81.2,MUY ALTA
2026-06-21,Uruguay,Cape Verde,Over 2.5,Over,pmu_fr,1.81,0.4869,2.054,-11.87,45.9,BAJA
2026-06-20,Tunisia,Japan,Over 2.5,Over,pmu_fr,2.06,0.4266,2.344,-12.12,43.9,BAJA
2026-06-24,South Africa,South Korea,Under 2.5,Under,pmu_fr,1.55,0.5668,1.764,-12.15,33.0,MUY BAJA
2026-06-17,Uzbekistan,Colombia,Over 2.5,Over,pinnacle,2.01,0.4369,2.289,-12.18,60.4,MEDIA
2026-06-26,Egypt,Iran,Under 2.5,Under,williamhill,1.44,0.6096,1.64,-12.22,49.8,BAJA
2026-06-22,Argentina,Austria,Under 2.5,Under,pinnacle,1.85,0.4744,2.108,-12.24,61.0,MEDIA
2026-06-19,United States,Australia,Under 2.5,Under,williamhill,1.73,0.5071,1.972,-12.27,72.2,ALTA
