team_canonical,rating,elo_norm,market_value_norm,racha_norm,attack_value_norm,midfield_value_norm,defense_value_norm,elo_raw,market_value_total,attack_value,midfield_value,defense_value,racha_raw,n_racha_matches
Sweden,58.62,0.34035947213654444,0.8473921264872967,0.1497058975231157,0.3826771653543307,0.1733862959285005,0.23390266561852355,1724.3041438876755,423000000.0,243000000.0,87300000.0,82000000.0,0.11232428510533586,10
South Korea,56.56,0.4514229031431307,0.6971902863088466,0.39352019083021067,0.04251968503937008,0.11400198609731876,0.15386264560851853,1805.643313027544,139200000.0,27000000.0,57400000.0,54000000.0,0.29525806825809026,10
Canada,55.8,0.4808386291224566,0.7357393506456785,0.21295014218557262,0.0984251968503937,0.05858987090367428,0.24748088329879225,1827.186414020548,185150000.0,62500000.0,29500000.0,86750000.0,0.15977642083459487,10
Scotland,55.79,0.4748388694749146,0.7341978224872915,0.2233875667528911,0.04220472440944882,0.20774577954319762,0.13842635603516043,1822.7923892695835,183050000.0,26800000.0,104600000.0,48600000.0,0.1676076170149851,10
Egypt,55.47,0.331315584587842,0.6898081570248464,0.4850997975796464,0.20078740157480315,0.007944389275074478,0.00035732151790180804,1717.6807009385536,131800000.0,127500000.0,4000000.0,300000.0,0.3639702167342037,10
DR Congo,52.25,0.309128800830898,0.6864340443542463,0.3675041037594065,0.08283464566929134,0.054319761668321746,0.12299006646180233,1701.431837200779,128550000.0,52600000.0,27350000.0,43200000.0,0.27573820678426264,10
Czech Republic,49.29,0.38424781552264686,0.6886755554502404,0.14829390271572687,0.10031496062992126,0.06156901688182721,0.06238833702565569,1756.4465093233257,130700000.0,63700000.0,31000000.0,22000000.0,0.11126486587111427,10
Tunisia,47.68,0.3158864945706,0.53969203032733,0.5885430527837052,0.011811023622047244,0.04309831181727904,0.04009147430858286,1706.3809477145398,43400000.0,7500000.0,21700000.0,14200000.0,0.441583656698856,10
Australia,46.38,0.4640129724460884,0.5350998651712793,0.39374450443087455,0.020708661417322836,0.00893743793445879,0.05867219323947688,1814.863861746728,41950000.0,13150000.0,4500000.0,20700000.0,0.29542637067804056,10
Ghana,45.73,0.1528444183905015,0.7204139873455723,0.11886858548043101,0.1062992125984252,0.1221449851042701,0.09897806045880082,1586.974344738787,165300000.0,67500000.0,61500000.0,34800000.0,0.08918706013909905,10
Bosnia and Herzegovina,41.3,0.20419266840973738,0.6306903670335909,0.13061491216663,0.0489763779527559,0.028599801390268124,0.0969770599585507,1624.580098095202,85100000.0,31100000.0,14400000.0,34100000.0,0.09800032514382143,10
Uzbekistan,38.05,0.3757304345082318,0.5393802904716934,0.0817961259532571,0.007874015748031496,0.006554121151936445,0.09954977488744372,1750.2086622778916,43300000.0,5000000.0,3300000.0,35000000.0,0.06137160608964629,10
Cape Verde,37.86,0.20182108808612462,0.5220908080009389,0.2989279861126713,0.001968503937007874,0.02224428997020854,0.07053526763381691,1622.8432314116967,38100000.0,1250000.0,11200000.0,24850000.0,0.2242855685287819,10
Iran,37.21,0.4551773074036968,0.38037065051806496,0.4404497526067961,0.009763779527559056,0.00893743793445879,0.002930036446794826,1808.392914047447,13350000.0,6200000.0,4500000.0,1200000.0,0.3304693028458774,10
Haiti,35.91,0.15301921656091608,0.5616975112485417,0.1383843331299161,0.03464566929133858,0.040615690168818275,0.02351175587793897,1587.102361114833,51075000.0,22000000.0,20450000.0,8400000.0,0.10382971910773506,10
Panama,32.14,0.36688161864293667,0.4780316183570842,0.0,0.0012598425196850393,0.012711022840119166,0.057528764382191094,1743.7280833525735,27500000.0,800000.0,6400000.0,20300000.0,0.0,10
Iraq,29.93,0.28029553733294565,0.3828779424869867,0.2694244170719158,0.01015748031496063,0.012909632571996028,0.0013578217680268706,1680.315312389158,13600000.0,6450000.0,6500000.0,650000.0,0.20214905049316423,10
New Zealand,28.2,0.15078927110878093,0.4721305036227793,0.05080462056365579,0.017716535433070866,0.015988083416087387,0.018366326020152934,1585.4692231083802,26325000.0,11250000.0,8050000.0,6600000.0,0.03811868990651716,10
South Africa,24.79,0.0922121938172496,0.30946940171154785,0.43852273031922323,0.009448818897637795,0.0,0.004931036947044951,1542.5693166823626,7900000.0,6000000.0,0.0,1900000.0,0.3290234586646203,10
Curacao,24.5,0.030239783956375617,0.45446964716149596,0.05203878803988553,0.010590551181102362,0.018470705064548162,0.01865218323447438,1497.1827814205449,23100000.0,6725000.0,9300000.0,6700000.0,0.03904468535333218,7
Qatar,21.53,0.0,0.39566771636365544,0.12058015794177167,0.01763779527559055,0.0010923535253227407,0.003930536696919888,1475.0361677270164,14950000.0,11200000.0,550000.0,1550000.0,0.090471252387413,10
Saudi Arabia,15.25,0.1711957231515644,0.17862086408535297,0.30850315540945583,0.0,0.0,0.008075466304580862,1600.4142310125044,3000000.0,0.0,0.0,3000000.0,0.23146981486655774,10
Jordan,0.0,0.3064360047798252,0.0,0.0,0.0004330708661417323,0.0006951340615690168,0.0,1699.4597227840688,800000.0,275000.0,350000.0,175000.0,0.0,10
