team_canonical,player_name,club,position_broad
Brazil,Neymar Jr.,Santos FC,Forward
Morocco,Yassine Bounou,Al-Hilal,Goalkeeper
Morocco,El Mehdi Benabid,AS FAR,Goalkeeper
Morocco,Munir Mohamedi,RS Berkane,Goalkeeper
Morocco,Achraf Hakimi,PSG,Defender
Morocco,Noussair Mazraoui,Manchester United,Defender
Morocco,Chadi Riad,Crystal Palace,Defender
Morocco,Nayef Aguerd,OM,Defender
Morocco,Abdelkabir Abqar,Deportivo Alavés,Defender
Morocco,Achraf Dari,Al Ahly SC,Defender
Morocco,Adam Aznou,Bayern Múnich,Defender
Morocco,Yahya Attiat-Allah,Al Ahly SC,Defender
Morocco,Azzedine Ounahi,Girona,Midfielder
Morocco,Ismael Saibari,PSV Einhoven,Midfielder
Morocco,Sofyan Amrabat,Betis,Midfielder
Morocco,Brahim Díaz,Real Madrid,Midfielder
Morocco,Amir Richardson,ACF Fiorentina,Midfielder
Morocco,Bilal El Khannouss,Leicester City,Midfielder
Morocco,Oussama El Azzouzi,Bologna FC,Midfielder
Morocco,Ayoub El Kaabi,Olympiakos,Forward
Morocco,Abde Ezzalzouli,Betis,Forward
Morocco,Soufiane Rahimi,Al-Ain,Forward
Morocco,Amine Adli,Bayer 04 Leverkusen,Forward
Morocco,Eliesse Ben Seghir,AS Monaco,Forward
Morocco,Hakim Ziyech,Galatasaray,Forward
Morocco,Ilias Akhomach,Villarreal CF,Forward
Morocco,Youssef En-Nesyri,Fenerbahçe,Forward
Haiti,Johny Placide,Bastia,Goalkeeper
Haiti,Alexandre Pierre,Sochaux,Goalkeeper
Haiti,Josue Duverger,Cosmos Koblenz,Goalkeeper
Haiti,Carlens Arcus,Angers,Defender
Haiti,Wilguens Paugain,Zulte Waregem,Defender
Haiti,Duke Lacroix,Colorado Springs Switchbacks,Defender
Haiti,Martin Expérience,Nancy,Defender
Haiti,Jean-Kévin Duverne,Gent,Defender
Haiti,Ricardo Adé,LDU Quito,Defender
Haiti,Hannes Delcroix,Lugano,Defender
Haiti,Keeto Thermoncy,Young Boys,Defender
Haiti,Leverton Pierre,Vizela,Midfielder
Haiti,Danley Jean Jacques,Philadelphia Union,Midfielder
Haiti,Jean-Ricner Bellegarde,Wolverhampton Wanderers,Midfielder
Haiti,Woodensky Pierre,Violette,Midfielder
Haiti,Dominique Simon,FC Tatran Prešov,Midfielder
Haiti,Carl Sainté,El Paso Locomotive FC,Midfielder
Haiti,Josué Casimir,Auxerre,Forward
Haiti,Ruben Providence,Almere,Forward
Haiti,Duckens Nazon,Esteghlal,Forward
Haiti,Frantzdy Pierrot,Çaykur Rizespor,Forward
Haiti,Wilson Isidor,Sunderland,Forward
Haiti,Yassin Fortuné,Vizela,Forward
Haiti,Lenny Joseph,Ferencváros,Forward
Haiti,Derrick Etienne Jr.,Toronto FC,Forward
Haiti,Louicius Deedson,FC Dallas,Forward
Scotland,Craig Gordon,Hearts,Goalkeeper
Scotland,Angus Gunn,Nottingham Forest,Goalkeeper
Scotland,Liam Kelly,Rangers,Goalkeeper
Scotland,Grant Hanley,Hibernian,Defender
Scotland,Jack Hendry,Al Etiffaq,Defender
Scotland,Aaron Hickey,Brentford,Defender
Scotland,Dom Hyam,Wrexham,Defender
Scotland,Scott McKenna,Dinamo Zagreb,Defender
Scotland,Nathan Patterson,Everton,Defender
Scotland,Anthony Ralston,Celtic,Defender
Scotland,Andy Robertson,Liverpool,Defender
Scotland,John Souttar,Rangers,Defender
Scotland,Kieran Tierney,Celtic,Defender
Scotland,Ryan Christie,Bournemouth,Midfielder
Scotland,Lewis Ferguson,Bologna,Midfielder
Scotland,Ben Gannon-Doak,Bournemouth,Midfielder
Scotland,Billy Gilmour,Napoli,Midfielder
Scotland,John McGinn,Aston Villa,Midfielder
Scotland,Kenny McLean,Norwich,Midfielder
Scotland,Scott McTominay,Napoli,Midfielder
Scotland,Findlay Curtis,Kilmarnock,Midfielder
Scotland,Ché Adams,Torino,Forward
Scotland,Lyndon Dykes,Charlton Athletic,Forward
Scotland,George Hirst,Ipswich,Forward
Scotland,Lawrence Shankland,Hearts,Forward
Scotland,Ross Stewart,Southampton,Forward
United States,Matt Turner,New England Revolution,Goalkeeper
United States,Ethan Horvath,Cardiff City,Goalkeeper
United States,Patrick Schulte,Columbus Crew,Goalkeeper
United States,Sergiño Dest,PSV,Defender
United States,Mark McKenzie,Toulouse,Defender
United States,Tim Ream,Charlotte FC,Defender
