team_canonical,player_name,club,position_broad
Ecuador,Ángelo Preciado,Atlético Mineiro,Defender
Ecuador,Jackson Porozo,Club Tijuana,Defender
Ecuador,Yaimar Medina,KRC Genk,Defender
Ecuador,Moisés Caicedo,Chelsea,Midfielder
Ecuador,Jordy Alcívar,Independiente,Midfielder
Ecuador,Denil Castillo,Midtjylland,Midfielder
Ecuador,Alan Franco,Atlético Mineiro,Midfielder
Ecuador,Pedro Vite,Pumas UNAM,Midfielder
Ecuador,Kendry Páez,River Plate,Midfielder
Ecuador,Gonzalo Plata,CR Flamengo,Midfielder
Ecuador,Alan Minda,Cercle Brugge,Midfielder
Ecuador,John Yeboah,Venezia FC,Midfielder
Ecuador,Kevin Rodríguez,Union Saint-Gilloise,Forward
Ecuador,Anthony Valencia,Royal Antwerp,Forward
Ecuador,Enner Valencia,Pachuca,Forward
Ecuador,Jordy Caicedo,Huracán,Forward
Ecuador,Jeremy Arévalo,Stuttgart,Forward
Ecuador,Nilson Angulo,Sunderland,Forward
Netherlands,Mark Flekken,Bayer Leverkusen,Goalkeeper
Netherlands,Robin Roefs,Sunderland,Goalkeeper
Netherlands,Bart Verbruggen,Brighton,Goalkeeper
Netherlands,Nathan Aké,Manchester City,Defender
Netherlands,Denzel Dumfries,Inter Milan,Defender
Netherlands,Jorrel Hato,Chelsea,Defender
Netherlands,Jurriën Timber,Arsenal,Defender
Netherlands,Jan Paul van Hecke,Brighton,Defender
Netherlands,Micky van de Ven,Tottenham,Defender
Netherlands,Virgil van Dijk,Liverpool,Defender
Netherlands,Frenkie de Jong,Barcelona,Midfielder
Netherlands,Marten de Roon,Atalanta,Midfielder
Netherlands,Ryan Gravenberch,Liverpool,Midfielder
Netherlands,Teun Koopmeiners,Juventus,Midfielder
Netherlands,Guus Til,PSV,Midfielder
Netherlands,Quinten Timber,Marseille,Midfielder
Netherlands,Mats Wieffer,Brighton,Midfielder
Netherlands,Justin Kluivert,Bournemouth,Midfielder
Netherlands,Tijjani Reijnders,Manchester City,Forward
Netherlands,Brian Brobbey,Sunderland,Forward
Netherlands,Memphis Depay,Corinthians,Forward
Netherlands,Cody Gakpo,Liverpool,Forward
Netherlands,Noa Lang,Galatasaray,Forward
Netherlands,Donyell Malen,Roma,Forward
Netherlands,Crysencio Summerville,West Ham,Forward
Netherlands,Wout Weghorst,Ajax,Forward
Japan,Zion Suzuki,Parma,Goalkeeper
Japan,Keisuke Osako,Sanfrecce Hiroshima,Goalkeeper
Japan,Kosei Tani,Gamba Osaka,Goalkeeper
Japan,Shogo Taniguchi,Sint-Truiden,Defender
Japan,Ko Itakura,Ajax,Defender
Japan,Takehiro Tomiyasu,Ajax,Defender
Japan,Hiroki Ito,Bayern Munich,Defender
Japan,Yukinari Sugawara,Werder Bremen,Defender
Japan,Daiki Hashioka,Luton Town,Defender
Japan,Koki Machida,Royale Union Saint-Gilloise,Defender
Japan,Seiya Maikuma,AZ Alkmaar,Defender
Japan,Wataru Endo,Liverpool,Midfielder
Japan,Daichi Kamada,Crystal Palace,Midfielder
Japan,Ao Tanaka,Leeds United,Midfielder
Japan,Takefusa Kubo,Real Sociedad,Midfielder
Japan,Hidemasa Morita,Sporting CP,Midfielder
Japan,Reo Hatate,Celtic FC,Midfielder
Japan,Takumi Minamino,AS Monaco,Midfielder
Japan,Junya Ito,Stade de Reims,Forward
Japan,Ritsu Doan,SC Friburgo,Forward
Japan,Keito Nakamura,Stade de Reims,Forward
Japan,Koki Ogawa,NEC Nijmegen,Forward
Japan,Daizen Maeda,Celtic,Forward
Japan,Ayase Ueda,Feyenoord,Forward
Japan,Kaoru Mitoma,Brighton & Hove Albion,Forward
Japan,Shuto Machino,Holstein Kiel,Forward
Sweden,Viktor Johansson,Stoke City,Goalkeeper
Sweden,Kristoffer Nordfeldt,AIK,Goalkeeper
Sweden,Jacob Widell Zetterstrom,Derby County,Goalkeeper
Sweden,Hjalmar Ekdal,Burnley,Defender
Sweden,Gabriel Gudmundsson,Leeds United,Defender
Sweden,Isak Hien,Atalanta,Defender
Sweden,Emil Holm,Juventus,Defender
Sweden,Gustaf Lagerbielke,Braga,Defender
Sweden,Carl Starfelt,Celta Vigo,Defender
Sweden,Elliot Stroud,Mjallby,Defender
Sweden,Daniel Svensson,Borussia Dortmund,Defender
Sweden,Eric Smith,St. Pauli,Defender
Sweden,Victor Nilsson Lindelöf,Aston Villa,Defender
Sweden,Yasin Ayari,Brighton,Midfielder
Sweden,Lucas Bergvall,Tottenham,Midfielder
Sweden,Jesper Karlström,Udinese,Midfielder
Sweden,Ken Sema,Pafos,Midfielder
Sweden,Mattias Svanberg,Wolfsburg,Midfielder
Sweden,Besfort Zeneli,Union St-Gilloise,Midfielder
Sweden,Benjamin Nygren,Celtic,Midfielder
Sweden,Taha Ali,Malmö,Forward
Sweden,Alexander Bernhardsson,Holstein Kiel,Forward
Sweden,Anthony Elanga,Newcastle United,Forward
Sweden,Viktor Gyökeres,Arsenal,Forward
Sweden,Alexander Isak,Liverpool,Forward
Sweden,Gustaf Nilsson,Club Brugge,Forward
Tunisia,Aymen Dahmen,CS Sfaxien,Goalkeeper
Tunisia,Amanallah Memmiche,Espérance de Tunis,Goalkeeper
Tunisia,Bechir Ben Said,US Monastir,Goalkeeper
Tunisia,Montassar Talbi,Lorient,Defender
Tunisia,Dylan Bronn,Servette,Defender
Tunisia,Yan Valery,Young Boys,Defender
Tunisia,Ali Abdi,Nice,Defender
Tunisia,Alaa Ghram,Shakhtar Donetsk,Defender
Tunisia,Hamza Mathlouthi,Zamalek SC,Defender
Tunisia,Oussama Haddadi,SpVgg Greuther Fürth,Defender
Tunisia,Wajdi Kechrida,Atromitos FC,Defender
Tunisia,Yassine Meriah,Espérance de Tunis,Defender
Tunisia,Ellyes Skhiri,Eintracht Frankfurt,Midfielder
Tunisia,Hannibal Mejbri,Burnley,Midfielder
Tunisia,Aïssa Laïdouni,Al-Wakrah,Midfielder
Tunisia,Hamza Rafia,US Lecce,Midfielder
Tunisia,Mohamed Ali Ben Romdhane,Ferencvárosi TC,Midfielder
Tunisia,Nader Ghandri,Akhmat Grozny,Midfielder
Tunisia,Samy Chouchane,Brighton & Hove Albion,Midfielder
Tunisia,Elias Achouri,Copenhagen,Forward
Tunisia,Elias Saad,Hannover 96,Forward
Tunisia,Haythem Jouini,Stade Tunisien,Forward
Tunisia,Issam Jebali,Gamba Osaka,Forward
Tunisia,Sayfallah Ltaief,FC Twente,Forward
Tunisia,Seifeddine Jaziri,Zamalek SC,Forward
Tunisia,Youssef Msakni,Al-Arabi SC,Forward
Belgium,Thibaut Courtois,Real Madrid,Goalkeeper
Belgium,Senne Lammens,Manchester United,Goalkeeper
Belgium,Mike Penders,Chelsea,Goalkeeper
Belgium,Timothy Castagne,Fulham,Defender
Belgium,Zeno Debast,Sporting CP,Defender
Belgium,Maxim De Cuyper,Brighton & Hove Albion,Defender
Belgium,Koni De Winter,AC Milan,Defender
Belgium,Brandon Mechele,Club Brugge,Defender
Belgium,Thomas Meunier,Lille,Defender
Belgium,Nathan Ngoy,Lille,Defender
Belgium,Joaquin Seys,Club Brugge,Defender
Belgium,Arthur Theate,Eintracht Frankfurt,Defender
Belgium,Kevin De Bruyne,Napoli,Midfielder
Belgium,Amadou Onana,Aston Villa,Midfielder
Belgium,Nicolas Raskin,Rangers,Midfielder
Belgium,Youri Tielemans,Aston Villa,Midfielder
Belgium,Hans Vanaken,Club Brugge,Midfielder
Belgium,Axel Witsel,Girona,Midfielder
Belgium,Charles De Ketelaere,Atalanta,Forward
Belgium,Jérémy Doku,Manchester City,Forward
Belgium,Matias Fernandez-Pardo,Lille,Forward
Belgium,Romelu Lukaku,Napoli,Forward
Belgium,Dodi Lukebakio,Benfica,Forward
Belgium,Diego Moreira,Strasbourg,Forward
Belgium,Alexis Saelemaekers,AC Milan,Forward
Belgium,Leandro Trossard,Arsenal,Forward
Egypt,Mohamed El Shenawy,Al Ahly,Goalkeeper
Egypt,Mostafa Shobeir,Al Ahly,Goalkeeper
Egypt,Mohamed Alaa,El Gouna,Goalkeeper
Egypt,El Mahdy Soliman,Zamalek SC,Goalkeeper
Egypt,Mohamed Hany,Al Ahly,Defender
Egypt,Tarek Alaa,Zed,Defender
Egypt,Rami Rabia,Al Ain,Defender
Egypt,Yasser Ibrahim,Al Ahly,Defender
Egypt,Hossam Abdelmaguid,Zamalek,Defender
Egypt,Ahmed Fatouh,Zamalek,Defender
Egypt,Karim Hafez,Pyramids,Defender
Egypt,Mohamed Abdelmonem,OGC Niza,Defender
Egypt,Hamdy Fathy,Al-Wakrah SC,Midfielder
Egypt,Mahmoud Saber,Zed,Midfielder
Egypt,Emam Ashour,Al Ahly,Midfielder
Egypt,"Ahmed Sayed ""Zizo""",Al Ahly SC,Midfielder
Egypt,"Mahmoud Hassan ""Trézéguet""",Al Ahly SC,Midfielder
Egypt,Marwan Attia,Al Ahly SC,Midfielder
Egypt,Mohannad Lasheen,Pyramids FC,Midfielder
Egypt,"Nabil Emad ""Donga""",Al Najmah,Midfielder
Egypt,Ibrahim Adel,FC Nordsjælland,Forward
Egypt,Omar Marmoush,Manchester City,Forward
Egypt,Mohamed Salah,Liverpool,Forward
Egypt,Hamza Abdelkarim,Barcelona,Forward
Egypt,Haitham Hassan,Real Oviedo,Forward
Egypt,"Mostafa Abdelraouf ""Ziko""",ZED FC,Forward
Iran,Alireza Beiranvand,Tractor,Goalkeeper
Iran,Payam Niazmand,Persepolis,Goalkeeper
Iran,Seyed Hossein Hosseini,Sepahan S.C.,Goalkeeper
Iran,Ehsan Hajsafi,Sepahan,Defender
Iran,Saleh Hardani,Esteghlal,Defender
Iran,Milad Mohammadi,Persepolis,Defender
Iran,Ali Nemati,Persepolis FC (Irán),Defender
Iran,Ramin Rezaeian,Foolad,Defender
Iran,Danial Iri,Zob Ahan,Defender
Iran,Mohammad Hossein Kanaanizadegan,Persepolis,Defender
Iran,Shojae Khalilzadeh,Tractor S.C.,Defender
Iran,Rouzbeh Cheshmi,Esteghlal,Midfielder
Iran,Saeid Ezatolahi,Shabab Al-Ahli,Midfielder
Iran,Saman Ghoddos,Kalba,Midfielder
Iran,Mohammad Ghorbani,Al-Wahda,Midfielder
Iran,Alireza Jahanbakhsh,Dender,Midfielder
Iran,Amirmohammad Razzaghinia,Esteghlal F.C.,Midfielder
Iran,Arya Yousefi,Sepahan S.C.,Midfielder
Iran,Mohammad Mohebi,FC Rostov,Forward
Iran,Mehdi Torabi,Tractor S.C.,Forward
Iran,Ali Alipour,Persepolis,Forward
Iran,Amirhossein Hosseinzadeh,Tractor,Forward
Iran,Denis Eckert Dargahi,Standard de Liège,Forward
Iran,Mehdi Ghayedi,Kalba FC,Forward
Iran,Mehdi Taremi,Inter de Milán,Forward
Iran,Shahriyar Moghanlou,Kalba FC,Forward
New Zealand,Max Crocombe,Millwall,Goalkeeper
New Zealand,Alex Paulsen,Lechia Gdańsk,Goalkeeper
New Zealand,Michael Woud,Auckland FC,Goalkeeper
New Zealand,Tim Payne,Wellington Phoenix,Defender
New Zealand,Francis De Vries,Auckland FC,Defender
New Zealand,Tyler Bindon,Nottingham Forest,Defender
New Zealand,Michael Boxall,Minnesota United,Defender
New Zealand,Liberato Cacace,Wrexham,Defender
New Zealand,Nando Pijnaker,Auckland FC,Defender
New Zealand,Finn Surman,Portland Timbers,Defender
New Zealand,Callan Elliot,Auckland FC,Defender
New Zealand,Tommy Smith,Braintree Town,Defender
New Zealand,Joe Bell,Viking FK,Midfielder
New Zealand,Matt Garbett,Peterborough United,Midfielder
New Zealand,Marko Stamenic,Swansea City,Midfielder
New Zealand,Sarpreet Singh,Wellington Phoenix,Midfielder
New Zealand,Alex Rufer,Wellington Phoenix,Midfielder
New Zealand,Ryan Thomas,PEC Zwolle,Midfielder
New Zealand,Chris Wood,Nottingham Forest,Forward
New Zealand,Eli Just,Motherwell,Forward
New Zealand,Kosta Barbarouses,Western Sydney Wanderers,Forward
New Zealand,Ben Waine,Port Vale,Forward
New Zealand,Ben Old,Saint-Etienne,Forward
New Zealand,Callum McCowatt,Silkeborg IF,Forward
New Zealand,Jesse Randall,Auckland FC,Forward
New Zealand,Lachlan Bayliss,Newcastle Jets,Forward
Spain,Unai Simón,Athletic Club,Goalkeeper
Spain,David Raya,Arsenal,Goalkeeper
Spain,Álex Remiro,Real Sociedad,Goalkeeper
Spain,Marc Cucurella,Chelsea,Defender
Spain,Pau Cubarsí,Barcelona,Defender
Spain,Aymeric Laporte,Athletic Club,Defender
Spain,Pedro Porro,Tottenham Hotspur,Defender
Spain,Eric García,Barcelona,Defender
Spain,Marcos Llorente,Atlético Madrid,Defender
Spain,Marc Pubill,Atlético Madrid,Defender
Spain,Alejandro Grimaldo,Bayer 04 Leverkusen,Defender
Spain,Gavi,Barcelona,Midfielder
Spain,Rodri,Manchester City,Midfielder
Spain,Pedri,Barcelona,Midfielder
Spain,Martín Zubimendi,Arsenal,Midfielder
Spain,Fabián Ruiz,PSG,Midfielder
Spain,Álex Baena,Atlético Madrid,Midfielder
Spain,Mikel Merino,Arsenal,Midfielder
Spain,Lamine Yamal,Barcelona,Forward
Spain,Nico Williams,Athletic Club,Forward
Spain,Dani Olmo,Barcelona,Forward
Spain,Ferran Torres,Barcelona,Forward
Spain,Mikel Oyarzabal,Real Sociedad,Forward
Spain,Yéremy Pino,Crystal Palace,Forward
Spain,Borja Iglesias,Celta Vigo,Forward
Spain,Víctor Muñoz,Osasuna,Forward
Cape Verde,Carlos Santos,San Diego,Goalkeeper
Cape Verde,Josimar Dias,Chaves,Goalkeeper
Cape Verde,Márcio da Rosa,Montana,Goalkeeper
Cape Verde,Steven Moreira,Columbus Crew,Defender
Cape Verde,Wagner Pina,Trabzonspor,Defender
Cape Verde,Sidny Lopes Cabral,Benfica,Defender
Cape Verde,Logan Costa,Villarreal,Defender
Cape Verde,Kelvin Pires,SJK,Defender
Cape Verde,Edilson Borges,Al-Bataeh CSC,Defender
Cape Verde,Ianique Tavares,Torreense,Defender
Cape Verde,João Paulo Fernandes,FCSB,Defender
Cape Verde,Roberto Lopes,Shamrock Rovers,Defender
Cape Verde,Jamiro Monteiro,PEC Zwolle,Midfielder
Cape Verde,Telmo Arcanjo,Vitoria Guimaraes,Midfielder
Cape Verde,Yannick Semedo,Farense,Midfielder
Cape Verde,Laros Duarte,Puskas Akademia,Midfielder
Cape Verde,Deroy Duarte,Ludogorets Razgrad,Midfielder
Cape Verde,Kevin Pina,Krasnodar,Midfielder
Cape Verde,Ryan Mendes,Igdir,Forward
Cape Verde,Willy Semedo,Omonia,Forward
Cape Verde,Garry Rodrigues,Apollon Limassol,Forward
Cape Verde,Jovane Cabral,Estrela Amadora,Forward
Cape Verde,Nuno da Costa,Istanbul Basaksehir,Forward
Cape Verde,Dailon Livramento,Casa Pia,Forward
Cape Verde,Gilson Benchimol,Akron Tolyatti,Forward
Cape Verde,Helio Varela,Maccabi Tel Aviv,Forward
Uruguay,Fernando Muslera,Estudiantes de La Plata,Goalkeeper
Uruguay,Sergio Rochet,Internacional de Porto Alegre,Goalkeeper
Uruguay,Santiago Mele,Monterrey,Goalkeeper
Uruguay,Ronald Araújo,Barcelona,Defender
Uruguay,José María Giménez,Atlético Madrid,Defender
Uruguay,Santiago Bueno,Wolverhampton Wanderers,Defender
Uruguay,Sebastián Cáceres,Club América,Defender
Uruguay,Mathías Olivera,Napoli,Defender
Uruguay,Guillermo Varela,Flamengo,Defender
Uruguay,Matías Viña,River Plate,Defender
Uruguay,Joaquín Piquerez,Palmeiras,Defender
Uruguay,Juan Manuel Sanabria,Real Salt Lake,Midfielder
Uruguay,Federico Valverde,Real Madrid,Midfielder
Uruguay,Rodrigo Bentancur,Tottenham Hotspur,Midfielder
Uruguay,Manuel Ugarte,Manchester United,Midfielder
Uruguay,Emiliano Martínez,Palmeiras,Midfielder
Uruguay,Rodrigo Zalazar,Sporting de Lisboa,Midfielder
Uruguay,Giorgian De Arrascaeta,Flamengo,Midfielder
Uruguay,Nicolás De La Cruz,Flamengo,Midfielder
Uruguay,Agustín Canobbio,Fluminense,Midfielder
Uruguay,Maximiliano Araújo,Sporting de Lisboa,Midfielder
Uruguay,Facundo Pellistri,Panathinaikos,Midfielder
Uruguay,Brian Rodríguez,América,Forward
Uruguay,Darwin Núñez,Al-Hilal,Forward
Uruguay,Federico Viñas,Real Oviedo,Forward
Uruguay,Rodrigo Aguirre,Tigres,Forward
Saudi Arabia,Ahmed Al-Kassar,Al-Qadsiah,Goalkeeper
Saudi Arabia,Mohammed Al-Owais,Al-Hilal,Goalkeeper
Saudi Arabia,Raghed Al-Najjar,Al-Nassr,Goalkeeper
Saudi Arabia,Saud Abdulhamid,Lens,Defender
Saudi Arabia,Ali Lajami,Al-Hilal,Defender
Saudi Arabia,Hassan Kadesh,Al-Ittihad,Defender
Saudi Arabia,Ali Al-Bulaihi,Al-Hilal,Defender
Saudi Arabia,Hassan Al-Tambakti,Al-Hilal,Defender
Saudi Arabia,Rayan Hamid,Al-Ahli,Defender
Saudi Arabia,Sultan Al-Ghannam,Al-Nassr,Defender
Saudi Arabia,Yasser Al-Shahrani,Al-Hilal,Defender
Saudi Arabia,Nasser Al Dawsari,Al-Hilal,Midfielder
Saudi Arabia,Mohamed Kanno,Al-Hilal,Midfielder
Saudi Arabia,Abdullah Al Khaibari,Al-Nassr,Midfielder
Saudi Arabia,Musab Al Juwayr,Al-Qadsiah,Midfielder
Saudi Arabia,Abdulellah Al-Malki,Al-Ettifaq,Midfielder
Saudi Arabia,Faisal Al-Ghamdi,Beerschot VA,Midfielder
Saudi Arabia,Mukhtar Ali,Al-Nassr,Midfielder
Saudi Arabia,Sami Al-Najei,Al-Nassr,Midfielder
Saudi Arabia,Ayman Yahya,Al-Nassr,Forward
Saudi Arabia,Salem Al Dawsari,Al-Hilal,Forward
Saudi Arabia,Saleh Al Shehri,Al-Ittihad,Forward
Saudi Arabia,Abdullah Radif,Al-Ettifaq,Forward
Saudi Arabia,Abdulrahman Ghareeb,Al-Nassr,Forward
Saudi Arabia,Firas Al-Buraikan,Al-Ahli,Forward
Saudi Arabia,Marwan Al-Sahafi,Beerschot VA,Forward
France,Mike Maignan,AC Milan,Goalkeeper
France,Robin Risser,Lens,Goalkeeper
France,Brice Samba,Rennes,Goalkeeper
France,Lucas Digne,Aston Villa,Defender
France,Malo Gusto,Chelsea,Defender
France,Lucas Hernández,Paris Saint-Germain,Defender
France,Theo Hernández,Al Hilal,Defender
France,Ibrahima Konaté,Liverpool,Defender
France,Jules Koundé,Barcelona,Defender
France,Maxence Lacroix,Crystal Palace,Defender
France,William Saliba,Arsenal,Defender
France,Dayot Upamecano,Bayern Munich,Defender
France,N'Golo Kanté,Fenerbahçe,Midfielder
France,Manu Koné,AS Roma,Midfielder
France,Adrien Rabiot,AC Milan,Midfielder
France,Aurélien Tchouaméni,Real Madrid,Midfielder
France,Warren Zaïre-Emery,Paris Saint-Germain,Midfielder
France,Maghnes Akliouche,AS Monaco,Forward
France,Bradley Barcola,Paris Saint-Germain,Forward
France,Rayan Cherki,Manchester City,Forward
France,Desiré Doué,Paris Saint-Germain,Forward
France,Jean-Philippe Mateta,Crystal Palace,Forward
France,Kylian Mbappé,Real Madrid,Forward
France,Michael Olise,Bayern Munich,Forward
France,Marcus Thuram,Internazionale,Forward
France,Ousmane Dembélé,Paris Saint-Germain,Forward
Senegal,Édouard Mendy,Al Ahli,Goalkeeper
Senegal,Mory Diaw,Le Havre,Goalkeeper
Senegal,Seny Dieng,Middlesbrough FC,Goalkeeper
Senegal,Kalidou Koulibaly,Al Ahli,Defender
Senegal,Moussa Niakhaté,O. Lyon,Defender
Senegal,Abdoulaye Seck,Maccabi Haifa,Defender
Senegal,Ismail Jakobs,Galatasaray,Defender
Senegal,Abdou Diallo,Al-Arabi SC,Defender
Senegal,Arouna Sangante,Le Havre AC,Defender
Senegal,Fodé Ballo-Touré,AC Milan,Defender
Senegal,Formose Mendy,FC Lorient,Defender
Senegal,Idrissa Gana Gueye,Everton,Midfielder
Senegal,Pape Gueye,Villarreal,Midfielder
Senegal,Lamine Camara,Mónaco,Midfielder
Senegal,Habib Diarra,Sunderland,Midfielder
Senegal,Pape Matar Sarr,Tottenham,Midfielder
Senegal,Cheikhou Kouyaté,Nottingham Forest,Midfielder
Senegal,Dion Lopy,UD Almería,Midfielder
Senegal,Nampalys Mendy,RC Lens,Midfielder
Senegal,Sadio Mané,Al Nassr,Forward
Senegal,Ismaïla Sarr,Crystal Palace,Forward
Senegal,Iliman Ndiaye,Everton,Forward
Senegal,Nicolas Jackson,Bayern,Forward
Senegal,Abdallah Sima,Stade Brestois,Forward
Senegal,Boulaye Dia,SS Lazio,Forward
Senegal,Habib Diallo,Al-Shabab,Forward
Iraq,Fahad Talib,Al-Talaba,Goalkeeper
Iraq,Jalal Hassan,Al-Zawraa,Goalkeeper
Iraq,Ahmed Basil,Al-Shorta,Goalkeeper
Iraq,Hussein Ali,Pogon Szczecin,Defender
Iraq,Manaf Younis,Al-Shorta SC (Irak),Defender
Iraq,Ahmed Yahya,Al-Shorta SC (Irak),Defender
Iraq,Mustafa Saadoon,Al-Shorta,Defender
Iraq,Zaid Tahseen,Pakhtakor,Defender
Iraq,Rebin Sulaka,Port,Defender
Iraq,Akam Hashim,Al-Zawraa,Defender
Iraq,Merchas Doski,Viktoria Plzen,Defender
Iraq,Frans Putros,Persib,Defender
Iraq,Zaid Ismail,Al-Talaba,Midfielder
Iraq,Amir Al-Ammari,Cracovia,Midfielder
Iraq,Kevin Yakob,Aarhus GF,Midfielder
Iraq,Zidane Iqbal,Utrecht,Midfielder
Iraq,Aimar Sher,Sarpsborg,Midfielder
Iraq,Ibrahim Bayesh,Al-Dhafra,Midfielder
Iraq,Ahmed Qasem,Nashville SC,Midfielder
Iraq,Youssef Amyn,AEK Larnaca,Midfielder
Iraq,Marko Farji,Venezia,Midfielder
Iraq,Ali Jasim,Al-Najma,Midfielder
Iraq,Ali Al-Hamadi,Ipswich,Forward
Iraq,Aymen Hussein,Al-Karma,Forward
Iraq,Mohanad Ali,Dibba,Forward
Iraq,Ali Yousif,Al-Talaba,Forward
Norway,Ørjan Nyland,Sevilla,Goalkeeper
Norway,Egil Selvik,Watford,Goalkeeper
Norway,Mathias Dyngeland,SK Brann,Goalkeeper
Norway,Julian Ryerson,Borussia Dortmund,Defender
Norway,Kristoffer Ajer,Brentford,Defender
Norway,Leo Østigard,Genoa,Defender
Norway,David Møller Wolfe,Wolverhampton Wanderers,Defender
Norway,Fredrik André Bjørkan,Bodø/Glimt,Defender
Norway,Andreas Hanche-Olsen,1. FSV Mainz 05,Defender
Norway,Jesper Daland,Cardiff City,Defender
Norway,Marcus Holmgren Pedersen,Torino FC,Defender
Norway,Stian Gregersen,Atlanta United,Defender
Norway,Martin Ødegaard,Arsenal,Midfielder
Norway,Sander Berge,Fulham,Midfielder
Norway,Patrick Berg,Bodø/Glimt,Midfielder
Norway,Kristian Thorstvedt,Sassuolo,Midfielder
Norway,Morten Thorsby,Cremonese,Midfielder
Norway,Hugo Vetlesen,Club Brugge,Midfielder
Norway,Markus Solbakken,AC Sparta Praga,Midfielder
Norway,Andreas Schjelderup,SL Benfica,Forward
Norway,Jens Petter Hauge,FK Bodø/Glimt,Forward
Norway,Oscar Bobb,Manchester City,Forward
Norway,Antonio Nusa,RB Leipzig,Forward
Norway,Erling Haaland,Manchester City,Forward
Norway,Alexander Sørloth,Atlético Madrid,Forward
Norway,Jørgen Strand Larsen,Crystal Palace,Forward
Argentina,Emiliano Martínez,Aston Villa,Goalkeeper
Argentina,Gerónimo Rulli,Marseille,Goalkeeper
Argentina,Juan Musso,Atlético Madrid,Goalkeeper
Argentina,Gonzalo Montiel,River Plate,Defender
Argentina,Nahuel Molina,Atlético Madrid,Defender
Argentina,Lisandro Martínez,Manchester United,Defender
Argentina,Nicolás Otamendi,Benfica,Defender
Argentina,Leonardo Balerdi,Marseille,Defender
Argentina,Cristian Romero,Tottenham,Defender
Argentina,Facundo Medina,Marseille,Defender
Argentina,Nicolás Tagliafico,Lyon,Defender
Argentina,Leandro Paredes,Boca Juniors,Midfielder
Argentina,Rodrigo De Paul,Inter Miami,Midfielder
Argentina,Exequiel Palacios,Bayer Leverkusen,Midfielder
Argentina,Enzo Fernández,Chelsea,Midfielder
Argentina,Alexis Mac Allister,Liverpool,Midfielder
Argentina,Giovani Lo Celso,Real Betis,Midfielder
Argentina,Valentín Barco,Strasbourg,Midfielder
Argentina,Thiago Almada,Atlético de Madrid (España),Midfielder
Argentina,Nicolás González,Atlético de Madrid (España),Midfielder
Argentina,Ezequiel Fernández,Bayer Leverkusen (Alemania),Midfielder
Argentina,Nicolás Paz,Como (Italia),Midfielder
Argentina,Lionel Messi,Inter Miami,Forward
Argentina,Lautaro Martínez,Internazionale,Forward
Argentina,Jose Manuel López,Palmeiras,Forward
Argentina,Julián Álvarez,Atlético Madrid,Forward
Algeria,Oussama Benbot,USM Alger,Goalkeeper
Algeria,Luca Zidane,Granada,Goalkeeper
Algeria,Anthony Mandrea,SM Caen,Goalkeeper
Algeria,Rayan Ait Nouri,Manchester City,Defender
Algeria,Ramy Bensebaini,Borussia Dortmund,Defender
Algeria,Jaouen Hadjam,Young Boys Bern,Defender
Algeria,Aïssa Mandi,Lille,Defender
Algeria,Mohamed Amine Tougai,Esperance,Defender
Algeria,Mehdi Dorval,SSC Bari,Defender
Algeria,Rafiq Belghali,Hellas Verona,Defender
Algeria,Youcef Atal,Al-Sadd SC,Defender
Algeria,Zineddine Belaïd,JS Kabylie,Defender
Algeria,Houssem Aouar,Al Ittihad,Midfielder
Algeria,Hicham Boudaoui,Nice,Midfielder
Algeria,Farès Chaïbi,Eintracht Frankfurt,Midfielder
Algeria,Ibrahim Maza,Bayer Leverkusen,Midfielder
Algeria,Ramiz Zerrouki,FC Twente,Midfielder
Algeria,Adam Zorgane,Union Saint-Gilloise,Midfielder
Algeria,Ahmed Kendouci,Ceramica Cleopatra,Midfielder
Algeria,Ismaël Bennacer,Dinamo Zagreb,Midfielder
Algeria,Amine Gouiri,Olympique de Marseille,Forward
Algeria,Riyad Mahrez,Al-Ahli,Forward
Algeria,Anis Hadj Moussa,Feyenoord Rotterdam,Forward
Algeria,Adel Boulbina,Al-Duhail,Forward
Algeria,Baghdad Bounedjah,Al-Shamal,Forward
Algeria,Mohamed Amoura,VfL Wolfsburg,Forward
Austria,Alexander Schlager,RB Salzburg,Goalkeeper
Austria,Florian Wiegele,Viktoria Plzen,Goalkeeper
Austria,Patrick Pentz,Brondby,Goalkeeper
Austria,David Affengruber,Elche,Defender
Austria,Kevin Danso,Tottehham,Defender
Austria,Stefan Posch,Mainz 05,Defender
Austria,David Alaba,Real Madrid,Defender
Austria,Philipp Lienhart,SC Freiburg,Defender
Austria,Philipp Mwene,Mainz 05,Defender
Austria,Alexander Prass,TSG Hoffenheim,Defender
Austria,Marco Friedl,Werder Bremen,Defender
Austria,Michael Svoboda,Venezia,Defender
Austria,Xaver Schlager,RB Leipzig,Midfielder
Austria,Nicolas Seiwald,RB Leipzig,Midfielder
Austria,Marcel Sabitzer,Borussia Dortmund,Midfielder
Austria,Florian Grillitsch,Braga,Midfielder
Austria,Carney Chukwuemeka,Borussia Dortmund,Midfielder
Austria,Romano Schmid,Werder Bremen,Midfielder
Austria,Christoph Baumgartner,RB Leipzig,Midfielder
Austria,Konrad Laimer,Bayern Munich,Midfielder
Austria,Patrick Wimmer,Wolfsburg,Midfielder
Austria,Paul Wanner,PSV Eindhoven,Midfielder
Austria,Alessandro Schopf,Wolfsberger AC,Midfielder
Austria,Marko Arnautovic,Red Star Belgrade,Forward
Austria,Michael Gregoritsch,FC Augsburg,Forward
